analysis_id,ema147jr50b8n97
gene_symbol,Cntfr
pvalue,0.3254701
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
