parameter_name,Chloride
analysis_id,4981k969259fik0
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.7124851
