parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
gene_symbol,Arpc2
mouse_life_stage,Early adult
analysis_id,f3942x27j9n89g9
mouse_strain,129SV
gene_accession_id,MGI:1923959
pvalue,0.6066795
