analysis_id,9d21o95pozst5d7
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.1507346
parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
