parameter_name,Head morphology
mouse_strain,C57BL
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.243489
parameter_id,MGP_CSD_064_001
analysis_id,332as9ub7z725r4
mouse_life_stage,Early adult
