gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
pvalue,0.1930232
mouse_life_stage,E18.5
analysis_id,5o4023h7d1497l0
parameter_id,HMGULA_DYS_024_001
