analysis_id,67s673w50io415z
gene_accession_id,MGI:88174
pvalue,0.07346757
parameter_id,ESLIM_007_001_005
gene_symbol,Bmi1
parameter_name,Whole arena average speed
mouse_life_stage,E15.5
mouse_strain,C57BL
