parameter_name,Center average speed
pvalue,0.1083859
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:1915087
mouse_strain,C57BL
analysis_id,9xx5006qro675l7
mouse_life_stage,E9.5
gene_symbol,Tiprl
