parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
pvalue,0.3258402
mouse_strain,C57BL
gene_symbol,Zmynd19
analysis_id,vp3014x31h72y8w
