analysis_id,tuh9x889snp23d6
gene_symbol,Zmynd8
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1918025
pvalue,0.4857213
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
