analysis_id,58f5x6bm80b40zl
parameter_name,Total B cells - % of CD45+
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
mouse_life_stage,Middle aged adult
pvalue,0.1676341
