gene_symbol,Psmd14
parameter_id,MGP_MLN_005_001
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
pvalue,0.7707028
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
analysis_id,ig05tn1sa727q64
