parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Ola1
analysis_id,919210d4ad3xc24
gene_accession_id,MGI:1914309
pvalue,0.6672085
