parameter_name,Vibrissae - presence
gene_symbol,Rufy4
mouse_strain,C57BL
analysis_id,v1ii7g8w681ptdh
parameter_id,JAXLA_CSD_023_001
pvalue,0.7437028
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
