gene_symbol,Gfi1b
parameter_id,IMPC_XRY_065_001
pvalue,0.7456302
analysis_id,9lax336pybsevin
gene_accession_id,MGI:1276578
mouse_strain,C55BL
mouse_life_stage,Early adult
parameter_name,Lumbar processes
