gene_symbol,Kifap3
gene_accession_id,MGI:107566
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,JAXLA_GRS_011_001
analysis_id,704l66n6nj3ndyw
pvalue,0.7827275
mouse_strain,C57BL
mouse_life_stage,Early adult
