analysis_id,71nn31x799582f5
gene_accession_id,MGI:88461
parameter_id,MGP_IMM_081_001
gene_symbol,Col6a3
mouse_life_stage,Early adult
pvalue,0.5381564
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
