analysis_id,zrnc6pd4587xb6w
parameter_name,Percentage center time
gene_accession_id,MGI:1918025
pvalue,0.06109149
mouse_life_stage,Early adult
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_id,IMPC_OFD_022_001
