parameter_id,UCD_OWT_008_001
mouse_life_stage,Early adult
analysis_id,4n94r0xz08t1728
pvalue,0.6781768
mouse_strain,C57BL
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
parameter_name,Liver weight
