parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1999217
gene_symbol,Slc28a2
analysis_id,0w2b8479241058o
