gene_symbol,Secisbp2l
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.2037288
mouse_life_stage,Middle aged adult
parameter_id,IMPC_GEL_028_001
analysis_id,uqclo6y3222x85i
parameter_name,Forebrain
