gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_id,HRWLLA_OFD_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2712112
parameter_name,Periphery average speed
analysis_id,at37762d2u0ra40
