gene_symbol,Tubb4b
parameter_id,JAX_LDT_003_001
pvalue,0.2536693
mouse_strain,C57BL
analysis_id,t3m19f4fpwjdxm8
parameter_name,Time mobile light side
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
