gene_symbol,Usp37
mouse_strain,C57BL
parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
pvalue,0.390832
mouse_life_stage,Early adult
analysis_id,5d15a9dm9cyv52u
gene_accession_id,MGI:2442483
