gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_IPG_011_001
analysis_id,g4ae8g0515213i8
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.2085819
parameter_name,Initial response to glucose challenge
