analysis_id,v23j5j72d34f4bw
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
mouse_strain,C3H
gene_symbol,Mecom
parameter_name,Vibrissae - appearance
pvalue,0.326564
gene_accession_id,MGI:95457
