analysis_id,x86j95e32io4cku
gene_accession_id,MGI:1913284
parameter_id,IMPC_GEO_064_001
pvalue,0.06644753
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Edema
gene_symbol,Psmd14
