gene_symbol,Cd52
analysis_id,4lyr2go90ovdki8
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1346088
parameter_name,Percent time in dark
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1487012
