gene_symbol,Dnajc8
parameter_id,JAX_OFD_022_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Percentage center time
pvalue,0.2159411
analysis_id,1h9c9za9mk5643g
gene_accession_id,MGI:1915848
