analysis_id,dg8lq4gq6m3n9ed
parameter_id,JAXLA_CSD_022_001
gene_symbol,Sdcbp2
parameter_name,Hindlimbs - size
pvalue,0.78252
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
mouse_strain,C57BL
