analysis_id,g36210942z7h669
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
parameter_name,B1B Cells
pvalue,0.9262814
mouse_strain,C57BL
gene_symbol,Ift74
