gene_symbol,Lrrc69
parameter_name,DN CD25- NKT cells
analysis_id,q6n4mkgcy44u391
parameter_id,IMPC_IMM_025_001
mouse_strain,C57BL
gene_accession_id,MGI:1920564
mouse_life_stage,Early adult
pvalue,0.5713077
