parameter_name,Monocyte percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
parameter_id,MGP_PBI_016_001
pvalue,0.8024087
mouse_strain,C57BL
gene_symbol,Rhbg
analysis_id,9362emu70n821zc
