analysis_id,59s70h409q8291w
parameter_name,Iron
gene_symbol,Car13
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:1931322
pvalue,0.8447228
mouse_strain,C57BL
mouse_life_stage,Early adult
