parameter_name,Limb grasping
pvalue,0.224332
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
analysis_id,92x5622jd227epk
gene_symbol,Lime1
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
