gene_symbol,Bach2
parameter_id,MGP_IMM_081_001
analysis_id,235nxg2yshubt80
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
pvalue,0
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
