parameter_id,HMGULA_CBC_009_001
mouse_life_stage,E9.5
parameter_name,Calcium
gene_accession_id,MGI:97838
pvalue,0.9011055
analysis_id,21a3c2bbd80g97y
gene_symbol,Eprs1
mouse_strain,C57BL
