analysis_id,514ur939i2hk711
pvalue,0.5591904
parameter_name,% Pre-pulse inhibition - PPI2
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:109356
gene_symbol,SNAP23
mouse_strain,C57BL
mouse_life_stage,Early adult
