analysis_id,96a1lb8sr2b7yd8
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
gene_symbol,Exd1
mouse_life_stage,Early adult
pvalue,0.2326578
gene_accession_id,MGI:3045306
