gene_symbol,Toporsl
parameter_id,MGP_IMM_073_001
analysis_id,9xkw684fclp8lmb
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1915524
mouse_strain,C57BL
pvalue,0.2408195
mouse_life_stage,Early adult
