analysis_id,46a87630n79g6fv
pvalue,0.9679059
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:109356
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Late adult
