parameter_name,Right total retinal thickness
analysis_id,7rkc0205400ww7s
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
parameter_id,IMPC_EYE_062_001
pvalue,0.6724304
mouse_life_stage,E12.5
