gene_symbol,Pld1
pvalue,0.9812142
gene_accession_id,MGI:109585
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,fj88g5y3f7nocja
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
