parameter_name,DN NKT cells
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2945982
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
parameter_id,IMPC_IMM_013_001
analysis_id,36moy9m1a0a1sb0
