analysis_id,87luu2j6q74v01z
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1339969
pvalue,0.4113516
parameter_id,IMPC_CBC_014_001
gene_symbol,Gja10
