parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
pvalue,0.06464952
analysis_id,0ao0a6xy90e1721
parameter_name,Skull shape
mouse_strain,C57BL
mouse_life_stage,Early adult
