analysis_id,0vl2ym7a0e65f05
gene_symbol,Golm2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
parameter_name,Basophil differential count
parameter_id,IMPC_HEM_038_001
pvalue,0.2265384
