parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Hpca
pvalue,0.05425717
analysis_id,6f19yl7ows795nm
gene_accession_id,MGI:1336200
parameter_name,BMC/Body weight
