analysis_id,x0851gnrp6tz04a
gene_symbol,Kif24
pvalue,0.3994777
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
parameter_name,MZB (CD21/35 high)
