gene_symbol,Bach2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,9oe250uw08553fr
gene_accession_id,MGI:894679
parameter_id,IMPC_ECG_003_001
parameter_name,CV
pvalue,0.5525086
