parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Late adult
parameter_name,Total cholesterol
mouse_strain,C57BL
analysis_id,m1maocp12992qo3
pvalue,0.8447717
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
