analysis_id,0hc76og83a66cj6
parameter_name,Anophthalmia
mouse_life_stage,E18.5
pvalue,0.368976
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:2685277
