gene_symbol,Rab3gap2
pvalue,0.9871977
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
analysis_id,cic99263j1y9s98
mouse_strain,C57BL
