gene_symbol,Arpc5l
mouse_strain,C57BL
gene_accession_id,MGI:1921442
analysis_id,s5aw10658w655qv
parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
pvalue,0.5779872
mouse_life_stage,Early adult
