parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1919107
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
analysis_id,g0zb3499pw013vf
mouse_strain,C57BL
pvalue,0.5511729
gene_symbol,Slc17a9
