gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
pvalue,0.3418051
mouse_strain,C57BL
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
analysis_id,ma1227e68usscd5
