parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.6476048
mouse_strain,C57BL
analysis_id,01b521mx69223a8
