parameter_name,Bone Area
pvalue,0.2897051
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_accession_id,MGI:1929866
mouse_strain,C57BL
gene_symbol,Rgs20
analysis_id,4u2h98328ku73rq
