parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5xb2ha70a791c1i
parameter_id,M-G-P_007_001_008
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
pvalue,0.6271738
