gene_symbol,Inpp1
parameter_name,KLRG1+ mature NK cell number
mouse_life_stage,Early adult
pvalue,0.7841484
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
analysis_id,8px0al90dsm8h73
gene_accession_id,MGI:104848
