gene_symbol,Ilkap
parameter_name,Vocalization
mouse_life_stage,Early adult
analysis_id,b097nken79m47s9
pvalue,0.6866588
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
gene_accession_id,MGI:1914694
