parameter_id,JAXLA_CBC_015_001
gene_symbol,Arpc2
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,m0538pm19cbkz29
parameter_name,Total cholesterol
gene_accession_id,MGI:1923959
pvalue,0.5794241
