parameter_id,M-G-P_014_001_001
parameter_name,Eye
pvalue,0.2603242
gene_symbol,Inpp1
gene_accession_id,MGI:104848
analysis_id,o5374qz9m5d8zjp
mouse_life_stage,Early adult
mouse_strain,C57BL
