gene_symbol,Trpa1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3522699
analysis_id,8t3y6f2l9jx05jr
pvalue,0.3201481
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
